PedNum,SBP,DBP,MAP,ACR,HDL,CHL,TRI,GLU
301,106.5818182,64.6,78.45454545,0,175.8,189,160,260
303,141.0697674,103.3222222,116.3820225,0,115.6,119,104,364
304,136,97.92982456,109.3684211,0,157.3,165,143,394
305,98.17808219,68.47945205,78.07042254,0,124.7,131,154,421
306,125.5774648,89.77464789,102.0694444,0,153.7,161,158,285
307,79.3,47,56.22222222,0,140.8,155,142,366
308,140.5588235,99.88888889,112.625,0,143.9,151,146,334
309,132.5517241,97.65116279,109.3103448,0,139.9,148,116,339
310,130.6507937,94.25,106.4,0,134.7,138,89,288
311,120.84375,86.41269841,97.9047619,0,164.5,177,132,372
312,81.47826087,51.7173913,61.23913043,0,198.7,231,181,362
313,153.7590361,112.3928571,125.6097561,194.7223528,156.8,162,94,335
314,126.4090909,94.41791045,105.4925373,0,126.7,132,117,441
315,139.4561404,101.3818182,112.5614035,0,150.1,163,143,334
316,98.47540984,65.25806452,77.04761905,0,148,157,134,344
317,87.48484848,49.85294118,63.14705882,0,164.1,173,142,411
318,145.3968254,104.7580645,117.8888889,0,135.7,144,126,353
319,85.94444444,56.77777778,66.16666667,0,156.1,168,111,402
320,122.3255814,91.51162791,102.0581395,0,175.6,192,119,386
321,107.4383562,75.20547945,86.97260274,0,145.5,153,94,378
322,139.5,104.8024691,115.7088608,43.57857264,192.1,203,132,423
323,124.609375,91.90322581,102.90625,9.456735435,164.8,172,70,287
324,95.28571429,64.42307692,75.11111111,0,120.1,122,87,349
325,114.3913043,83.875,92.91304348,0,158.6,167,99,306
326,112.5777778,78.45652174,89.2,41.30540572,118.8,124,112,380
327,90.73684211,59.74025974,70.06493506,0,142,151,87,393
328,90.65151515,61.16176471,71.20588235,0,191.3,218,124,373
329,112.1632653,82.54,92.41176471,0,121.2,122,69,319
330,116.8571429,80.19642857,92.08928571,0,171.2,182,97,265
331,80.68292683,51.925,60.43589744,0,150.2,162,188,328
332,87.22727273,53.91304348,65.06666667,51.17828871,188.1,201,148,322
333,112.7142857,67.57142857,81.31428571,137.4222948,157.8,167,145,317
334,99.26865672,64.72058824,76.26470588,0,150.4,157,85,360
335,125.2790698,87.5952381,100.5238095,0,91,94,114,313
336,107.6621622,78.33333333,87.69736842,0,141.4,146,90,398
337,85.72916667,58.58695652,67.42553191,0,137.1,143,94,378
338,82.45283019,51.80769231,62.05660377,0,130.4,137,123,260
339,122.7083333,84.85714286,96.4375,12.88852074,142.9,152,142,328
340,117.4827586,72.43396226,87.70909091,0,135.4,141,86,323
341,106.4655172,71.69491525,82.51724138,0,125.1,134,125,291
342,91.25641026,56.61538462,67.87179487,0,136.6,145,175,275
346,141.3285714,106.8428571,118.173913,0,133.1,137,100,383
